sha,file_name,added_lines,deleted_lines,nloc,file_complexity,methods_before,changed_methods,token_count
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_repo_knox.sql,245,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,backup_mysql_db.sh,18,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_dev_backup_mysql.sh,1,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_dev_backup_mysql_loaded.sh,1,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,create_xa_core_db.sh,14,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,mysql_seed_data.sql,25,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,reset_db.sh,18,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,reset_db_with_seed.sh,26,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,schema_mysql.sql,475,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,001-groupsource.sql,19,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,002-policyname.sql,22,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,003-knoxrepo.sql,33,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,004-assetconfigsize.sql,16,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,005-xtrxlogcolumnsize.sql,19,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,006-createdefaultpublicgroup.sql,19,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,reset_asset.sql,4,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,reset_audit_mysql.sh,28,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,reset_core_mysql.sh,28,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,resetdb_dev_mysql.sh,121,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xa_audit_db.sql,67,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xa_core_db.sql,741,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xa_db.sql,763,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xa_db_bare.sql,0,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,xa_demo_db.sql,4314,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,pom.xml,385,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.properties,136,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,install.sh,817,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,setup_authentication.sh,88,0,,,0,0,
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,RoleUserAuthorityGranter.java,21,0,17,2,0,1,98
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AssetConnectionMgr.java,367,0,306,55,0,11,2096
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AssetMgr.java,2191,0,1835,394,0,32,13245
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AssetMgrBase.java,165,0,125,28,0,24,661
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,BaseMgr.java,61,0,44,5,0,3,278
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HadoopFSMgr.java,65,0,43,8,0,4,223
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,HiveFSMgr.java,64,0,46,9,0,4,243
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,SessionMgr.java,323,0,252,35,0,14,1718
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,UserMgr.java,1102,0,827,186,0,34,5538
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,UserMgrBase.java,57,0,38,7,0,6,208
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XABizUtil.java,1454,0,927,256,0,43,5583
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XAuditMgr.java,6,0,3,0,0,0,14
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XAuditMgrBase.java,93,0,67,14,0,12,359
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XUserMgr.java,432,0,326,55,0,18,2250
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,XUserMgrBase.java,237,0,183,42,0,36,963
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,AppConstants.java,835,0,496,134,0,14,2411
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,ContextUtil.java,65,0,52,14,0,6,276
7defc061d6c3eab376e2413926a71f5b6ee0ad2e,DateUtil.java,87,0,68,11,0,7,502
